,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
65.0,2.1105833551306734,2.260861396040158,2.2766805427865657,2.5397159062777894,2.82580760045355,2.367245635591275,2.5438377182978487,0.09542524269738713,0.11470595997421291,0.10647404482086992,0.09670135114391083,0.11158023000443631,0.09870173690604488,0.09637540153430435
66.0,2.1062557238737347,2.253430808927534,2.270201832453649,2.5328527377957717,2.821459747733063,2.3607717763234017,2.5371490923436575,0.09588326843193261,0.11553748505157091,0.10739182909955002,0.09754656823779763,0.11253495101956162,0.0996693668139382,0.09724386935509971
67.0,2.1017925793685963,2.245845986535831,2.263551176256201,2.5259019579179887,2.8169813337272473,2.354184610139033,2.5303489931453926,0.09630585936502731,0.11638452629616439,0.10832669790019696,0.09842191773444017,0.11354586617750768,0.10068041252695926,0.09815521990886272
68.0,2.097206215639246,2.2381196807901858,2.256743335562284,2.518875966730702,2.8123801559431807,2.347501344596074,2.523455839077941,0.09668733660529116,0.11724668279464857,0.10927723504686675,0.0993272075268103,0.11461521396667176,0.10173534038827432,0.09911006176723478
69.0,2.0925089267096175,2.2302646436157425,2.249793071739944,2.511787164320164,2.80766401188794,2.3407391872524776,2.5164880485162318,0.09702183537341372,0.11812352391316276,0.11024197003266983,0.1002622387539699,0.11574519862546223,0.10283454962067741,0.10010895472884289
70.0,2.087713006603639,2.2222936269376175,2.2427151461572605,2.504647950772634,2.8028406990685943,2.3339153456661568,2.5094640398351453,0.09730333186150385,0.11901458391244304,0.11121937500243534,0.10122679805934531,0.11693797524738715,0.10397834411644272,0.10115239074922579
71.0,2.0828307493452716,2.21421938268093,2.2355243201822876,2.497470726174372,2.797918014992224,2.3270470273950536,2.5024022314095906,0.09752568323000627,0.11991935541933839,0.11220786221859985,0.10222064791585675,0.11819563354415438,0.1051668990230652,0.10224077168755001
72.0,2.077874448958451,2.2060546627708213,2.2282353551830894,2.4902678906116282,2.792903757165899,2.3201514399970824,2.4953210416144778,0.09768268363694838,0.12083728154828592,0.11320578216509866,0.1032435147736504,0.1195201801467061,0.10640022166690784,0.10337438353808846
73.0,2.0728563994671227,2.197812219132424,2.2208630125277153,2.483051844170656,2.787805723096699,2.3132457910301745,2.4882388888246942,0.09776813946933623,0.12176774646398204,0.11421142245998565,0.10429507484251792,0.12091351930494545,0.10767810651091093,0.10455336688953551
74.0,2.0677888948952328,2.1895048036908706,2.2134220535842366,2.475834986937735,2.782631710291685,2.3063472880522724,2.4811741914151804,0.09777596711072241,0.1227100641903674,0.11522300775539002,0.10537493742067973,0.12237743183260431,0.10900008409179959,0.10577768348547983
75.0,2.0626842292667087,2.1811451683712892,2.2059272397207206,2.468629718999103,2.7773895162579385,2.2994731386212917,2.4741453677607836,0.09770031656164746,0.12366346550704689,0.11623870079903063,0.10648262583525635,0.12391355213763895,0.11036536424765571,0.1070470789575968
76.0,2.057554696605499,2.1727460650987998,2.1983933323052054,2.46144844044102,2.772086938502535,2.2926405502951597,2.467170836236462,0.09753572394082255,0.1246270828384585,0.1172566048100695,0.10761755627690654,0.12552334318476224,0.1117727744461944,0.10836104208059225
77.0,2.052412590935571,2.1643202457985438,2.1908350927057625,2.454303551349759,2.7667317745325635,2.2858667306317946,2.4602690152170896,0.09727729522638127,0.12559993313909126,0.11827476727868742,0.10877901509724913,0.12720806925983558,0.11322069466788903,0.10971876126159677
78.0,2.047270206280845,2.1558804623956425,2.183267282290468,2.447207451811554,2.7613318218550704,2.2791688871891522,2.4534583230775784,0.09692092242682612,0.12658089891341032,0.1192911852292504,0.10996613549082583,0.12896876645095234,0.11470699108268251,0.11111907942572666
79.0,2.042139836665257,2.147439466815228,2.175704662427369,2.440172541912673,2.755894877977142,2.2725642275251476,2.4467571781928315,0.09646353157630973,0.12756870768196657,0.12030381188898577,0.11117787488973524,0.1308062108334271,0.11622895165986029,0.11256044898091101
80.0,2.0370337761127653,2.1390100109824455,2.168161994484527,2.433211221739368,2.7504287404058454,2.2660699591977047,2.440183998937745,0.09590335942018172,0.12856191040986836,0.12131056457884049,0.11241299482850516,0.13272088445067132,0.11778322781444127,0.11404088910913578
81.0,2.0319643186473177,2.130604846822396,2.1606540398300074,2.4263358913779083,2.744941206648265,2.2597032897647655,2.4337572036872435,0.09524025232840211,0.12955885963719088,0.12230933349671103,0.11367004543899957,0.13471293932439432,0.11936578713183944,0.11555794818777504
82.0,2.0269437582928425,2.122236726260237,2.15319555983185,2.419558950914551,2.739440074211462,2.253481426784234,2.4274952108162213,0.09447597685932385,0.13055768827079722,0.12329799090799357,0.11494735703841483,0.13678215990840845,0.12097188299965571,0.11710867462122879
83.0,2.0219843890733005,2.113918401221074,2.1458013158581437,2.412892800435537,2.7339331406025287,2.2474215778140607,2.4214164386995614,0.09361452662857186,0.1315562901820998,0.12427440011359865,0.11624304138776931,0.13892792462065245,0.12259604745184528,0.1186895996673463
84.0,2.0170985050126107,2.105662623630061,2.138486069276933,2.406349840027141,2.728428203328527,2.241540950412173,2.4155393057121928,0.09266240501722704,0.1325523038673733,0.12523642345617125,0.11755500502540212,0.1411491673440613,0.12423211351721955,0.12029673587092177
85.0,2.012298400134735,2.0974821454123114,2.1312645814563056,2.3999424697756013,2.722933059896525,2.2358567521364914,2.4098822302290026,0.0916288582831565,0.1335431004263968,0.12618192857872434,0.11888097653092917,0.1434443400696208,0.1258732726879145,0.12192559436702836
86.0,2.0075963684636102,2.0893897184929684,2.1241516137642784,2.3936830897671846,2.717455507813606,2.2303861905449454,2.404463630624925,0.09052602954240181,0.13452577696833662,0.12710879219097235,0.12021854859511669,0.14581137814861603,0.12751217165238693,0.12357122351414855
87.0,2.0030047040231866,2.0813980947971396,2.1171619275689384,2.387584100088151,2.712003344586851,2.225146473195458,2.399301925274819,0.08936900179094785,0.13549715624486705,0.1280149007426081,0.12156523436806302,0.14824766990202343,0.12914105012340527,0.125228270035626
88.0,1.9985357008373938,2.073520026249983,2.110310284238349,2.381657900824778,2.7065843677233143,2.220154807645975,2.394415532553615,0.08817569870340163,0.13645379285157366,0.12889814764899987,0.12291853582706597,0.1507500325706954,0.13075191850831938,0.12689106213708012
89.0,1.994201652930188,2.065768264776607,2.1036114451405603,2.3759168920632914,2.7012063747300825,2.2154284014544072,2.3898228708362255,0.08696661644012031,0.13739198577668468,0.12975642704307913,0.12427602004082441,0.15331469673928927,0.132336770536098,0.1285537120655193
90.0,1.9900148543255158,2.0581555623021566,2.097080171643636,2.3703734738899462,2.695877163114232,2.210984462178696,2.3855423584975264,0.08576436898127592,0.13830779649304117,0.13058762439889265,0.12563539749072522,0.15593730138218256,0.1338878221341554,0.13021023350765504
