,Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),Mean (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm),SD (mm)
,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7,7Networks_1,7Networks_2,7Networks_3,7Networks_4,7Networks_5,7Networks_6,7Networks_7
Age (years),,,,,,,,,,,,,,
75.0,2.066761541194058,2.1702194698001827,2.198868972646062,2.4678934816215197,2.7769427140183893,2.293253793678945,2.4681865547859543,0.09770436344411541,0.12424087121857097,0.11711888380338169,0.10723325966238444,0.12389401247676167,0.11121629681579473,0.10782041418802789
76.0,2.0616320085328574,2.1618203665276945,2.191335065230556,2.4607122030634447,2.771640136262985,2.2864212053528146,2.4612120232616324,0.09753631865772942,0.1252106000755185,0.11814509198102242,0.1083754016321306,0.1255095719545586,0.1126319193316473,0.10914090859632222
77.0,2.0564899028629173,2.1533945472274443,2.183776825631124,2.4535673139721723,2.766284972293002,2.279647385689474,2.454310202242263,0.09727460454300166,0.12618953980701503,0.1191716917651113,0.10954395188833815,0.12720047934649117,0.1140879734833336,0.11050502932521634
78.0,2.051347518208186,2.144954763824543,2.1762090152158207,2.4464712144339686,2.7608850196155013,2.2729495422468173,2.4474995101027432,0.09691527621831734,0.12717654941157674,0.12019667170060803,0.11073799391778473,0.12896779268313227,0.11558227404689306,0.1119115784518197
79.0,2.046217148592616,2.136513768244136,2.168646395352724,2.439436304535086,2.7554480757375783,2.266344882582815,2.440798365217998,0.09645544817684945,0.12817033252092433,0.12121797454962391,0.1119564336169433,0.13081231099798557,0.11711205793535709,0.11335896733516528
80.0,2.041111088040123,2.1280843124113415,2.161103727409876,2.4324749843617863,2.7499819381662864,2.2598506142553756,2.4342251859629194,0.09589356938940824,0.12916941647283167,0.12223350467428404,0.11319798048853345,0.1327345401049236,0.11867392825817424,0.11484517534934154
81.0,2.036041630574669,2.1196791482512944,2.153595772755363,2.425599654000327,2.744494404408703,2.2534839448224213,2.4277983907124088,0.0952297189496776,0.13017213122351792,0.1232411362488152,0.11446113378644937,0.13473465629738288,0.12026380988575418,0.11636771402127273
82.0,2.0310210702201927,2.1113110276891325,2.146137292757199,2.418822713536961,2.7389932719719052,2.2472620818419045,2.4215363978413817,0.09446591138586789,0.1311765890351669,0.12423872183982043,0.11574417603045566,0.13681246836775618,0.12187692223991888,0.11792359979554481
83.0,2.0260617010006454,2.102992702649978,2.1387430487834953,2.4121565630579496,2.733486338362978,2.2412022328717316,2.4154576257247244,0.09360639607469581,0.1321806660386856,0.12522410076364282,0.1170451763859344,0.13896737856827795,0.12350777543971035,0.11950933891304931
84.0,2.021175816939961,2.0947369250589625,2.1314278022022877,2.405613602649545,2.727981401088965,2.2353216054698417,2.40958049273736,0.09265793021079095,0.13318198686155264,0.12619510653583468,0.11836200618794578,0.1411983433953979,0.12515019585008538,0.12112092787721852
85.0,2.016375712062086,2.0865564468412092,2.1242063143816456,2.3992062323980106,2.722486257656966,2.229637407194151,2.40392341725417,0.09163000001487832,0.13417791348872127,0.12714957269510374,0.11969236830024522,0.14350383536971142,0.12679738634605264,0.12275387259681789
86.0,2.011673680390964,2.078464019921864,2.117093346689637,2.392946852389604,2.7170087055740413,2.2241668456026056,2.398504817650082,0.09053496102777477,0.13516553936195835,0.12808533633425373,0.12103384099191927,0.14588180728772193,0.12844202509825997,0.12440322846960544
87.0,2.007082015950538,2.0704723962260405,2.1101036604942913,2.386847862710579,2.7115565423472843,2.2189271282531244,2.3933431122999784,0.0893880663466583,0.1361416894085069,0.1290002388153317,0.12238393560320646,0.1483296607165365,0.1300764043730641,0.1260636623894783
88.0,2.002613012764747,2.0625943276788847,2.1032520171637,2.3809216634471873,2.7061375654837514,2.213935462703639,2.3884567195787825,0.08820735255021843,0.13710292623973994,0.12989212338176323,0.123740165559839,0.15084422075522796,0.13169260780510475,0.12772953597656334
89.0,1.9982789648575525,2.0548425662055045,2.09655317806591,2.375180654685701,2.700759572490512,2.2092090565120692,2.38386405786138,0.08701335785421795,0.1380455622242797,0.13075882968478697,0.12510012247910213,0.15342171925490572,0.13328272106679467,0.1293950073858755
90.0,1.9940921662528681,2.047229863731054,2.0900219045689874,2.3696372365123666,2.695430360874669,2.204765117236365,2.379583545522686,0.08582865654707983,0.13896567659952946,0.1315981855768394,0.1264615534705828,0.15605778872403644,0.1348390671823756,0.1310541470668273
